Sample,Measurement,Width (µm),Height (µm),Major Axis (µm),Minor Axis (µm),Angle (°)
71923B,95,12.27,12.27,12.27,12.27,-30.57
71923B,96,24.12,24.12,24.12,24.12,-12.65
71923B,97,15.38,15.37,15.38,15.37,14.47
71923B,98,9.46,9.46,9.46,9.46,23.96
71923A,1,730.00,400.00,730.00,400.00,
71923A,2,930.00,510.00,930.00,510.00,
71923A,3,680.00,570.00,680.00,570.00,
71923A,4,400.00,470.00,400.00,470.00,
71923A,5,580.00,450.00,580.00,450.00,
71923A,6,530.00,410.00,530.00,410.00,
71923A,7,960.00,730.00,960.00,730.00,
71923A,8,560.00,410.00,560.00,410.00,
71923A,9,720.00,690.00,720.00,690.00,
71923A,10,690.00,520.00,690.00,520.00,
71923A,11,570.00,460.00,570.00,460.00,
71923A,12,480.00,380.00,480.00,380.00,
71923A,13,650.00,600.00,650.00,600.00,
71923A,14,770.00,490.00,770.00,490.00,
71923A,15,450.00,360.00,450.00,360.00,
71923A,16,610.00,460.00,610.00,460.00,
71923A,17,380.00,280.00,380.00,280.00,
71923A,18,530.00,500.00,530.00,500.00,
71923A,19,650.00,380.00,650.00,380.00,
71923A,20,460.00,350.00,460.00,350.00,
71923A,21,530.00,450.00,530.00,450.00,
71923A,22,630.00,310.00,630.00,310.00,
71923A,23,520.00,580.00,520.00,580.00,
71923A,24,520.00,430.00,520.00,430.00,
71923A,25,930.00,290.00,930.00,290.00,
71923A,26,460.00,510.00,460.00,510.00,
71923A,27,400.00,330.00,400.00,330.00,
71923A,28,570.00,330.00,570.00,330.00,
71923A,29,560.00,510.00,560.00,510.00,
71923A,30,490.00,470.00,490.00,470.00,
71923A,31,420.00,420.00,420.00,420.00,
71923A,32,500.00,310.00,500.00,310.00,
71923A,33,600.00,350.00,600.00,350.00,
71923A,34,640.00,330.00,640.00,330.00,
71923A,35,670.00,240.00,670.00,240.00,
71923A,36,550.00,250.00,550.00,250.00,
71923A,37,510.00,250.00,510.00,250.00,
71923A,38,450.00,320.00,450.00,320.00,
71923A,39,380.00,240.00,380.00,240.00,
71923A,40,580.00,520.00,580.00,520.00,
71923A,41,650.00,620.00,650.00,620.00,
71923A,42,580.00,310.00,580.00,310.00,
71923A,43,790.00,540.00,790.00,540.00,
71923A,44,480.00,460.00,480.00,460.00,
71923A,45,710.00,670.00,710.00,670.00,
71923A,46,590.00,520.00,590.00,520.00,
71923A,47,570.00,440.00,570.00,440.00,
71923A,48,590.00,450.00,590.00,450.00,
71923A,49,580.00,520.00,580.00,520.00,
71923A,50,790.00,540.00,790.00,540.00,
71923A,51,480.00,460.00,480.00,460.00,
71923A,52,710.00,670.00,710.00,670.00,
71923A,53,590.00,520.00,590.00,520.00,
71923A,54,570.00,440.00,570.00,440.00,
71923A,55,590.00,450.00,590.00,450.00,
71923A,56,550.00,470.00,550.00,470.00,
71923A,57,720.00,400.00,720.00,400.00,
71923A,58,640.00,590.00,640.00,590.00,
71923A,59,490.00,400.00,490.00,400.00,
71923A,60,470.00,370.00,470.00,370.00,
71923A,61,810.00,620.00,810.00,620.00,
71923A,62,470.00,360.00,470.00,360.00,
71923A,63,600.00,500.00,600.00,500.00,
71923A,64,740.00,610.00,740.00,610.00,
71923A,65,460.00,450.00,460.00,450.00,
71923A,66,540.00,510.00,540.00,510.00,
71923A,67,640.00,540.00,640.00,540.00,
71923A,68,660.00,420.00,660.00,420.00,
71923A,69,320.00,150.00,320.00,150.00,
71923A,70,680.00,500.00,680.00,500.00,
71923A,71,720.00,380.00,720.00,380.00,
71923A,72,830.00,520.00,830.00,520.00,
71923A,73,660.00,380.00,660.00,380.00,
71923A,74,710.00,430.00,710.00,430.00,
71923A,75,590.00,340.00,590.00,340.00,
71923A,76,910.00,460.00,910.00,460.00,
71923A,77,580.00,290.00,580.00,290.00,
71923A,78,750.00,280.00,750.00,280.00,
71923A,79,760.00,590.00,760.00,590.00,
71923A,80,520.00,500.00,520.00,500.00,
71923A,81,730.00,430.00,730.00,430.00,
71923A,82,1050.00,370.00,1050.00,370.00,
71923A,83,610.00,330.00,610.00,330.00,
71923A,84,700.00,700.00,700.00,700.00,
71923A,85,630.00,380.00,630.00,380.00,
71923A,86,760.00,300.00,760.00,300.00,
71923A,87,480.00,380.00,480.00,380.00,
71923A,88,530.00,480.00,530.00,480.00,
71923A,89,610.00,460.00,610.00,460.00,
71923A,90,740.00,250.00,740.00,250.00,
71923A,91,1280.00,780.00,1280.00,780.00,
71923A,92,550.00,490.00,550.00,490.00,
71923A,93,490.00,260.00,490.00,260.00,
71923A,94,610.00,290.00,610.00,290.00,
71923A,95,590.00,350.00,590.00,350.00,
71923A,96,470.00,280.00,470.00,280.00,
71923A,97,450.00,220.00,450.00,220.00,
71923A,98,380.00,270.00,380.00,270.00,
71923A,99,620.00,260.00,620.00,260.00,
71923A,100,660.00,390.00,660.00,390.00,
71923A,101,550.00,380.00,550.00,380.00,
71923A,102,450.00,240.00,450.00,240.00,
71923A,103,510.00,260.00,510.00,260.00,
71923A,104,490.00,340.00,490.00,340.00,
71923A,105,320.00,280.00,320.00,280.00,
71923A,106,530.00,420.00,530.00,420.00,
71923A,107,360.00,230.00,360.00,230.00,
71923A,108,470.00,330.00,470.00,330.00,
71923A,109,370.00,230.00,370.00,230.00,
71923A,110,700.00,510.00,700.00,510.00,
71923A,111,780.00,580.00,780.00,580.00,
80823A,1,58.00,46.39,58.00,46.39,-27.09
80823A,2,37.85,37.85,37.85,37.85,-54.29
80823A,3,53.73,53.73,53.73,53.73,-97.19
80823A,4,40.78,32.66,40.78,32.66,17.10
80823A,5,40.40,34.38,40.40,34.38,-24.77
80823A,6,53.43,34.50,53.43,34.50,-34.79
80823A,7,58.86,45.21,58.86,45.21,22.48
80823A,8,60.29,60.29,60.29,60.29,30.65
80823A,9,57.35,46.29,57.35,46.29,67.42
80823A,10,67.33,47.54,67.33,47.54,63.13
80823A,11,50.06,50.05,50.06,50.05,8.83
80823A,12,55.66,39.75,55.66,39.75,-28.11
80823A,13,17.83,17.83,17.83,17.83,-4.63
80823A,14,56.96,53.92,56.96,53.92,-13.91
80823A,15,58.52,58.51,58.52,58.51,-20.66
80823A,16,54.63,52.15,54.63,52.15,29.51
80823A,17,48.60,39.38,48.60,39.38,0.00
80823A,18,80.33,48.11,80.33,48.11,58.05
80823A,19,49.11,49.10,49.11,49.10,3.93
80823A,20,60.51,60.51,60.51,60.51,-42.42
80823A,21,69.76,41.96,69.76,41.96,-84.75
80823A,22,54.86,54.86,54.86,54.86,-20.49
80823A,23,131.68,108.14,131.68,108.14,-17.31
80823A,24,58.44,42.92,58.44,42.92,49.53
80823A,25,34.10,34.10,34.10,34.10,-89.19
80823A,26,28.19,23.88,28.19,23.88,15.15
80823A,27,51.33,44.35,51.33,44.35,-72.35
80823A,28,57.08,43.00,57.08,43.00,-20.25
80823A,29,77.30,76.40,77.30,76.40,-71.68
80823A,30,37.21,32.00,37.21,32.00,-25.79
80823A,31,44.93,38.03,44.93,38.03,-15.00
80823A,32,36.18,29.96,36.18,29.96,-6.44
80823A,33,53.33,45.62,53.33,45.62,-0.60
80823A,34,43.64,38.03,43.64,38.03,24.62
80823A,35,61.06,53.16,61.06,53.16,64.01
80823A,36,44.20,40.38,44.20,40.38,2.73
80823A,37,36.94,34.47,36.94,34.47,-26.03
80823A,38,39.42,39.42,39.42,39.42,-46.97
80823A,39,41.96,28.64,41.96,28.64,55.24
80823A,40,44.50,44.50,44.50,44.50,-29.05
80823A,41,62.82,49.95,62.82,49.95,37.97
80823A,42,53.05,53.06,53.05,53.06,-99.38
80823A,43,57.84,41.03,57.84,41.03,34.99
80823A,44,31.60,31.60,31.60,31.60,-106.79
80823A,45,36.00,36.00,36.00,36.00,46.08
80823A,46,51.99,46.18,51.99,46.18,16.92
80823A,47,47.48,44.82,47.48,44.82,-51.96
80823A,48,48.76,38.44,48.76,38.44,-25.92
80823A,49,51.01,51.02,51.01,51.02,-86.22
80823A,50,62.43,48.62,62.43,48.62,-57.09
80823A,51,62.85,53.74,62.85,53.74,-48.25
80823A,52,55.28,55.28,55.28,55.28,55.61
80823A,53,44.06,35.43,44.06,35.43,-74.27
80823A,54,64.65,57.56,64.65,57.56,-49.39
80823A,55,54.48,39.43,54.48,39.43,-34.07
80823A,56,111.30,105.51,111.30,105.51,-113.48
80823A,57,45.72,45.73,45.72,45.73,-107.11
80823A,58,88.92,58.12,88.92,58.12,35.92
80823A,59,54.87,44.96,54.87,44.96,23.28
80823A,60,33.42,24.93,33.42,24.93,15.64
80823A,61,53.18,42.38,53.18,42.38,19.87
80823A,62,100.22,69.14,100.22,69.14,-78.38
80823A,63,45.95,37.85,45.95,37.85,-50.14
80823A,64,45.71,45.72,45.71,45.72,-99.07
80823A,65,27.86,24.01,27.86,24.01,0.00
80823A,66,40.65,37.33,40.65,37.33,-76.23
80823A,67,45.25,45.44,45.25,45.44,20.61
80823A,68,40.01,34.15,40.01,34.15,3.22
80823A,69,33.17,33.17,33.17,33.17,2.49
80823A,70,64.65,52.31,64.65,52.31,-97.39
80823A,71,30.04,30.24,30.04,30.24,-25.52
80823A,72,70.55,36.33,70.55,36.33,
80823A,73,47.18,36.12,47.18,36.12,
80823A,74,41.33,28.43,41.33,28.43,
80823A,75,31.16,24.70,31.16,24.70,
80823A,76,47.91,36.53,47.91,36.53,
80823A,77,61.12,38.71,61.12,38.71,
80823A,78,44.76,27.32,44.76,27.32,
80823A,79,61.45,61.44,61.45,61.44,
80823A,80,63.59,57.57,63.59,57.57,
80823A,81,74.78,61.20,74.78,61.20,
80823A,82,73.75,39.39,73.75,39.39,
80823A,83,61.73,37.58,61.73,37.58,
80823A,84,55.72,44.67,55.72,44.67,
80823A,85,92.14,70.01,92.14,70.01,
80823A,86,91.68,60.48,91.68,60.48,
80823A,87,58.50,36.82,58.50,36.82,
80823A,88,73.98,44.44,73.98,44.44,
80823A,89,25.69,25.69,25.69,25.69,
80823A,90,63.45,54.10,63.45,54.10,
80823A,91,51.40,37.46,51.40,37.46,
80823A,92,23.63,23.62,23.63,23.62,
80823A,93,44.19,44.18,44.19,44.18,
80823A,94,42.42,42.42,42.42,42.42,
80823A,95,32.66,19.26,32.66,19.26,
80823A,96,39.26,31.93,39.26,31.93,
80823A,97,50.69,50.69,50.69,50.69,
80823A,98,68.20,68.19,68.20,68.19,
80823A,99,62.18,53.44,62.18,53.44,
80823A,100,44.21,37.38,44.21,37.38,
80823A,101,41.75,32.92,41.75,32.92,
80823A,102,44.86,31.31,44.86,31.31,
prc,1,30.07,18.26,30.07,18.26,-63.43
prc,2,37.48,25.98,37.48,25.98,-86.82
prc,3,37.09,27.11,37.09,27.11,97.13
prc,4,36.55,10.13,36.55,10.13,95.44
prc,5,22.57,14.89,22.57,14.89,-90.00
prc,6,36.57,15.26,36.57,15.26,61.82
prc,7,26.68,16.10,26.68,16.10,21.60
prc,8,45.33,15.04,45.33,15.04,-16.70
prc,9,33.87,17.87,33.87,17.87,149.30
prc,10,27.61,27.61,27.61,27.61,-76.93
prc,11,34.84,19.27,34.84,19.27,-85.71
prc,12,28.57,18.54,28.57,18.54,16.55
prc,13,50.09,22.20,50.09,22.20,51.14
prc,14,39.51,33.00,39.51,33.00,-68.66
prc,15,52.59,27.14,52.59,27.14,166.70
prc,16,41.10,19.33,41.10,19.33,63.43
prc,17,24.49,18.73,24.49,18.73,112.62
prc,18,19.98,12.09,19.98,12.09,6.84
prc,19,44.89,29.99,44.89,29.99,-58.09
prc,20,25.69,22.90,25.69,22.90,65.85
prc,21,39.43,20.62,39.43,20.62,27.75
prc,22,26.64,20.43,26.64,20.43,60.42
prc,23,40.44,25.21,40.44,25.21,49.63
prc,24,26.41,13.00,26.41,13.00,-94.24
prc,25,26.93,14.19,26.93,14.19,66.03
prc,26,15.68,15.68,15.68,15.68,40.03
prc,27,26.93,19.78,26.93,19.78,33.11
prc,28,47.88,28.53,47.88,28.53,46.36
prc,29,49.13,23.71,49.13,23.71,96.98
prc,30,16.50,12.31,16.50,12.31,69.44
prc,31,25.52,17.48,25.52,17.48,105.95
prc,32,16.58,11.77,16.58,11.77,11.77
prc,33,26.33,17.10,26.33,17.10,141.85
prc,34,15.70,15.70,15.70,15.70,113.43
prc,35,38.05,29.31,38.05,29.31,-94.10
prc,36,22.22,13.46,22.22,13.46,-87.95
prc,37,36.00,20.38,36.00,20.38,98.13
prc,38,36.00,18.68,36.00,18.68,133.96
prc,39,26.85,17.32,26.85,17.32,43.87
prc,40,20.43,11.57,20.43,11.57,-41.63
j2,1,228.99,132.10,228.99,132.10,-49.12
j2,2,139.11,71.39,139.11,71.39,-113.81
j2,3,268.37,147.82,268.37,147.82,-81.03
j2,4,134.65,55.84,134.65,55.84,-49.18
j2,5,209.62,116.86,209.62,116.86,-117.41
j2,6,216.69,77.72,216.69,77.72,140.02
j2,7,110.31,90.62,110.31,90.62,85.13
j2,8,323.57,111.04,323.57,111.04,127.27
j2,9,165.51,134.20,165.51,134.20,113.63
j2,10,205.62,140.36,205.62,140.36,120.43
j2,11,230.48,132.43,230.48,132.43,156.04
j2,12,212.10,95.38,212.10,95.38,99.27
j2,13,162.59,139.21,162.59,139.21,106.44
j2,14,251.37,97.90,251.37,97.90,105.95
j2,15,112.00,71.11,112.00,71.11,88.45
j2,16,179.74,124.42,179.74,124.42,8.88
j2,17,180.84,153.99,180.84,153.99,86.42
j2,18,160.49,129.22,160.49,129.22,-48.01
j2,19,179.80,129.76,179.80,129.76,51.00
j2,20,236.12,170.14,236.12,170.14,-48.66
j2,21,402.67,92.73,402.67,92.73,129.96
j2,22,128.42,69.29,128.42,69.29,136.13
j2,23,175.87,153.87,175.87,153.87,143.64
j2,24,190.15,134.15,190.15,134.15,-29.13
j2,25,103.45,79.41,103.45,79.41,32.15
j2,26,89.54,79.61,89.54,79.61,109.75
j2,27,362.89,362.92,362.89,362.92,60.85
j2,28,184.69,110.03,184.69,110.03,-16.22
j2,29,194.52,124.67,194.52,124.67,33.69
j2,30,157.78,96.05,157.78,96.05,36.86
j2,31,235.51,154.67,235.51,154.67,14.38
j2,32,196.23,122.05,196.23,122.05,118.18
j2,33,186.41,94.22,186.41,94.22,92.34
j2,34,167.35,125.33,167.35,125.33,130.65
j2,35,143.67,108.16,143.67,108.16,56.59
j2,36,242.97,136.17,242.97,136.17,73.61
j2,37,150.06,74.15,150.06,74.15,16.55
j2,38,180.37,130.44,180.37,130.44,80.67
j2,39,326.21,154.92,326.21,154.92,160.45
j2,40,365.45,168.01,365.45,168.01,128.97
j2,41,136.70,118.62,136.70,118.62,105.50
j2,42,129.08,100.34,129.08,100.34,-174.51
j2,43,245.70,116.06,245.70,116.06,61.31
j2,44,127.96,113.23,127.96,113.23,145.37
j2,45,138.35,96.14,138.35,96.14,87.71
j2,46,108.67,77.72,108.67,77.72,50.01
j2,47,131.76,88.16,131.76,88.16,101.31
j2,48,172.52,106.56,172.52,106.56,56.02
j2,49,114.37,84.72,114.37,84.72,57.03
j2,50,325.02,208.94,325.02,208.94,56.85
j2,51,141.67,141.70,141.67,141.70,77.47
j2,52,202.64,138.01,202.64,138.01,-8.81
j2,53,151.78,119.65,151.78,119.65,-5.53
j2,54,132.33,132.32,132.33,132.32,39.69
j2,55,373.79,115.33,373.79,115.33,-119.99
j2,56,134.95,109.93,134.95,109.93,95.01
j2,57,198.31,153.98,198.31,153.98,130.45
j2,58,310.77,263.42,310.77,263.42,79.92
j2,59,296.44,191.79,296.44,191.79,-7.48
j2,60,244.78,165.72,244.78,165.72,-44.99
j2,61,265.96,187.88,265.96,187.88,52.89
j2,62,383.24,202.75,383.24,202.75,-25.83
j2,63,224.84,113.00,224.84,113.00,-125.32
j2,64,197.19,121.09,197.19,121.09,131.79
j2,65,119.42,101.38,119.42,101.38,102.59
lpns,1,225.1088085,157.3818172,225.1088085,157.3818172,
lpns,2,278.7860082,184.5094299,278.7860082,184.5094299,
lpns,3,466.4236247,296.3651956,466.4236247,296.3651956,
lpns,4,133.1175748,97.83941657,133.1175748,97.83941657,
lpns,5,265.4143636,176.3396451,265.4143636,176.3396451,
lpns,6,270.895962,147.9427537,270.895962,147.9427537,
lpns,7,170.6153687,113.4016947,170.6153687,113.4016947,
lpns,8,138.7036152,82.68855647,138.7036152,82.68855647,
lpns,9,203.6887562,151.8212404,203.6887562,151.8212404,
lpns,10,119.1126891,82.61765497,119.1126891,82.61765497,
lpns,11,244.1358932,152.3656718,244.1358932,152.3656718,
lpns,12,291.2579204,129.8513486,291.2579204,129.8513486,
lpns,13,92.40009364,49.39270038,92.40009364,49.39270038,
lpns,14,264.5227437,146.0091111,264.5227437,146.0091111,
lpns,15,822.2455097,517.8292723,822.2455097,517.8292723,
lpns,16,323.5977146,146.7764235,323.5977146,146.7764235,
lpns,17,139.9703,78.83062556,139.9703,78.83062556,
lpns,18,198.4864706,92.36779562,198.4864706,92.36779562,
lpns,19,156.2180956,84.39179355,156.2180956,84.39179355,
lpns,20,1498.932351,726.0023442,1498.932351,726.0023442,
lpns,21,1210.876824,489.7333254,1210.876824,489.7333254,
lpns,22,594.0474585,172.6879298,594.0474585,172.6879298,
lpns,23,654.6320847,408.4234318,654.6320847,408.4234318,
lpns,24,355.3183756,153.1049336,355.3183756,153.1049336,
lpns,25,356.4569804,199.9690867,356.4569804,199.9690867,
lpns,26,129.0941403,70.98741842,129.0941403,70.98741842,
lpns,27,91.02271084,51.14877977,91.02271084,51.14877977,
lpns,28,184.4385471,111.2943354,184.4385471,111.2943354,
lpns,29,363.3163151,145.9298261,363.3163151,145.9298261,
lpns,30,667.7513626,212.9710632,667.7513626,212.9710632,
lpns,31,993.4423385,298.1419395,993.4423385,298.1419395,
lpns,32,189.9235615,129.0319179,189.9235615,129.0319179,
lpns,33,322.1118484,196.1645226,322.1118484,196.1645226,
lpns,34,698.8114354,345.3067377,698.8114354,345.3067377,
lpns,35,176.9424448,101.5090698,176.9424448,101.5090698,
lpns,36,929.9643164,528.6715026,929.9643164,528.6715026,
lpns,37,161.784769,63.97311313,161.784769,63.97311313,
lpns,38,67.01249574,57.32735517,67.01249574,57.32735517,
lpns,39,995.2717559,352.516439,995.2717559,352.516439,
lpns,40,369.6122861,236.8907169,369.6122861,236.8907169,
lpns,41,694.801231,175.2837526,694.801231,175.2837526,
lpns,42,515.8583278,307.0085759,515.8583278,307.0085759,
lpns,43,431.1370255,214.7556036,431.1370255,214.7556036,
lpns,44,244.7620396,141.5018093,244.7620396,141.5018093,
lpns,45,293.8383729,128.4112995,293.8383729,128.4112995,
lpns,46,225.5557529,73.23162651,225.5557529,73.23162651,
lpns,47,312.360257,72.4934981,312.360257,72.4934981,
lpns,48,199.2250076,84.6126199,199.2250076,84.6126199,
lpns,49,212.3393867,134.646803,212.3393867,134.646803,
lpns,50,134.6594431,115.6495952,134.6594431,115.6495952,
lpns,51,343.6098987,220.4646664,343.6098987,220.4646664,
lpns,52,153.4995157,118.1764444,153.4995157,118.1764444,
lpns,53,129.5147017,87.69943238,129.5147017,87.69943238,
lpns,54,260.0462512,135.8616612,260.0462512,135.8616612,
lpns,55,244.2207923,122.5279573,244.2207923,122.5279573,
lpns,56,272.0884716,175.6779517,272.0884716,175.6779517,
lpns,57,98.77064501,69.9301045,98.77064501,69.9301045,
lpns,58,214.8881062,121.0414837,214.8881062,121.0414837,
lpns,59,106.5555265,97.81356656,106.5555265,97.81356656,
lpns,60,92.72898265,96.04738633,92.72898265,96.04738633,
lpns,61,183.7024536,121.3349577,183.7024536,121.3349577,
lpns,62,71.30365045,53.82711359,71.30365045,53.82711359,
lpns,63,138.3137291,117.2140929,138.3137291,117.2140929,
lpns,64,400.0894416,338.3227173,400.0894416,338.3227173,
lpns,65,277.6075407,171.3412753,277.6075407,171.3412753,
lpns,66,362.1143487,113.75533,362.1143487,113.75533,
lpns,67,278.435632,142.7762317,278.435632,142.7762317,
lpns,68,208.6149334,164.8299852,208.6149334,164.8299852,
lpsc,1,180.29,122.24,180.29,122.24,-8.13
lpsc,2,154.65,104.02,154.65,104.02,-29.80
lpsc,3,221.40,127.63,221.40,127.63,-28.30
lpsc,4,376.83,113.17,376.83,113.17,-30.04
lpsc,5,286.22,191.65,286.22,191.65,-53.94
lpsc,6,156.80,67.78,156.80,67.78,-20.74
lpsc,7,205.01,112.16,205.01,112.16,-106.42
lpsc,8,173.28,157.54,173.28,157.54,-50.19
lpsc,9,131.66,96.23,131.66,96.23,-117.34
lpsc,10,193.73,80.84,193.73,80.84,9.57
lpsc,11,270.50,133.71,270.50,133.71,-14.13
lpsc,12,175.41,98.41,175.41,98.41,-51.34
lpsc,13,176.22,73.76,176.22,73.76,-60.01
lpsc,14,129.14,70.46,129.14,70.46,62.38
lpsc,15,181.70,164.87,181.70,164.87,-49.48
lpsc,16,144.53,91.15,144.53,91.15,-119.00
lpsc,17,162.31,133.80,162.31,133.80,-93.71
lpsc,18,164.42,120.68,164.42,120.68,-56.68
lpsc,19,246.47,177.85,246.47,177.85,-102.16
lpsc,20,156.22,92.46,156.22,92.46,-42.47
lpsc,21,169.24,91.15,169.24,91.15,-119.00
lpsc,22,216.20,115.17,216.20,115.17,-16.47
lpsc,23,166.80,100.34,166.80,100.34,-5.49
lpsc,24,157.87,117.41,157.87,117.41,-13.24
lpsc,25,149.98,129.00,149.98,129.00,57.52
lpsc,26,188.69,168.12,188.69,168.12,-76.95
lpsc,27,205.91,173.70,205.91,173.70,-101.81
lpsc,28,148.89,120.15,148.89,120.15,-2.29
lpsc,29,165.24,110.60,165.24,110.60,72.82
lpsc,30,161.22,120.44,161.22,120.44,23.49
lpsc,31,206.35,119.27,206.35,119.27,-100.57
lpsc,32,129.11,90.54,129.11,90.54,-41.12
lpsc,33,164.64,138.26,164.64,138.26,16.54
lpsc,34,193.66,120.77,193.66,120.77,39.51
lpsc,35,125.65,82.25,125.65,82.25,-47.36
lpsc,36,231.69,140.15,231.69,140.15,-55.32
lpsc,37,206.41,113.98,206.41,113.98,-20.72
lpsc,38,156.54,126.01,156.54,126.01,-123.82
lpsc,39,220.27,146.53,220.27,146.53,-126.20
lpsc,40,173.20,129.81,173.20,129.81,-42.90
lpsc,41,234.48,139.25,234.48,139.25,-45.83
lpsc,42,251.26,42.36,251.26,42.36,32.96
lpsc,43,203.40,170.17,203.40,170.17,-14.54
lpsc,44,150.65,119.41,150.65,119.41,39.45
lpsc,45,161.75,105.31,161.75,105.31,-51.66
lpsc,46,170.95,148.42,170.95,148.42,-63.68
lpsc,47,106.68,113.91,106.68,113.91,-71.56
lpsc,48,162.41,140.73,162.41,140.73,-90.20
lpsc,49,113.88,106.94,113.88,106.94,-130.63
lpsc,50,146.48,107.86,146.48,107.86,-39.21
